Date,1COV.DE,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BMW.DE,CON.DE,DAI.DE,DB1.DE,DBK.DE,DHER.DE,DPW.DE,DTE.DE,DWNI.DE,ENR.DE,EOAN.DE,FME.DE,FRE.DE,HEI.DE,HEN3.DE,IFX.DE,LIN.DE,MRK.DE,MTX.DE,MUV2.DE,RWE.DE,SAP.DE,SIE.DE,VNA.DE,VOW3.DE
2012-03-23,,57.810001373291016,91.18000030517578,65.8499984741211,52.59003829956055,67.9000015258789,70.0,45.4900016784668,50.619998931884766,32.632972717285156,,14.359999656677246,9.105999946594238,9.792899131774902,,16.340654373168945,51.75,25.896665573120117,44.91999816894531,52.95000076293945,7.440000057220459,75.95999908447266,40.70000076293945,59.279998779296875,114.75,35.939998626708984,53.0099983215332,74.96414184570312,,132.35000610351562
2012-03-26,,58.97999954223633,92.62000274658203,67.06999969482422,52.97383499145508,68.66999816894531,71.69999694824219,46.650001525878906,50.83000183105469,33.16926574707031,,14.5649995803833,9.182999610900879,9.901961326599121,,16.435815811157227,52.63999938964844,26.206666946411133,46.349998474121094,54.310001373291016,7.576000213623047,75.95999908447266,41.5,60.130001068115234,117.25,36.40999984741211,53.11000061035156,74.71219635009766,,132.75
2012-03-27,,58.97999954223633,92.4800033569336,67.19999694824219,52.89510726928711,68.44999694824219,72.27999877929688,46.78499984741211,50.77000045776367,32.901119232177734,,14.625,9.244000434875488,10.188249588012695,,16.567230224609375,52.099998474121094,25.979999542236328,45.95000076293945,54.470001220703125,7.548999786376953,75.95999908447266,41.54999923706055,60.59000015258789,116.94999694824219,36.43000030517578,53.09000015258789,74.48931884765625,,134.14999389648438
2012-03-28,,58.38999938964844,91.37000274658203,65.9800033569336,52.038944244384766,67.22000122070312,70.73999786376953,45.779998779296875,50.70000076293945,32.59466552734375,,14.460000038146973,9.131999969482422,10.133719444274902,,16.417688369750977,52.869998931884766,26.09666633605957,44.97999954223633,54.25,7.686999797821045,75.95999908447266,41.35499954223633,60.29999923706055,115.80000305175781,36.11000061035156,52.86000061035156,73.6365737915039,,132.89999389648438
2012-03-29,,57.4900016784668,89.30000305175781,64.95999908447266,51.40912628173828,65.83000183105469,68.62999725341797,44.26499938964844,49.30500030517578,31.432697296142578,,14.390000343322754,8.97599983215332,9.874695777893066,,16.123140335083008,53.099998474121094,25.69333267211914,43.53499984741211,54.08000183105469,7.593999862670898,75.95999908447266,41.275001525878906,59.900001525878906,113.5,35.650001525878906,52.25,72.61909484863281,,129.64999389648438
2012-03-30,,58.540000915527344,89.47000122070312,65.58999633789062,51.90117263793945,67.43000030517578,70.7699966430664,45.209999084472656,50.47999954223633,31.756175994873047,,14.4350004196167,9.027000427246094,10.070098876953125,,16.277212142944336,53.13999938964844,25.6299991607666,45.38499069213867,54.939998626708984,7.665999889373779,75.95999908447266,41.4900016784668,60.38999938964844,113.05000305175781,35.80500030517578,52.36000061035156,73.24896240234375,,131.85000610351562
2012-04-02,,61.11000061035156,90.86000061035156,66.61000061035156,52.98367691040039,69.20999908447266,72.80000305175781,46.14500045776367,51.529998779296875,31.947708129882812,,14.824999809265137,9.107999801635742,10.315489768981934,,16.37690544128418,54.66999816894531,26.516666412353516,45.73500061035156,55.91999816894531,7.861999988555908,75.95999908447266,43.275001525878906,61.72999954223633,114.8499984741211,35.78499984741211,53.209999084472656,74.07263946533203,,133.8000030517578
2012-04-03,,60.5,90.16000366210938,65.69000244140625,53.07224655151367,67.98999786376953,72.16999816894531,45.76499938964844,51.31999969482422,30.98578643798828,,14.59000015258789,9.045000076293945,10.388197898864746,,16.109546661376953,54.47999954223633,26.503332138061523,45.345001220703125,55.130001068115234,7.880000114440918,75.95999908447266,43.09000015258789,62.2400016784668,114.0999984741211,35.5,52.439998626708984,73.40400695800781,,133.0500030517578
2012-04-04,,58.47999954223633,87.06999969482422,63.54999923706055,51.53705978393555,66.55999755859375,70.08999633789062,44.70500183105469,50.54999923706055,29.896177291870117,,14.130000114440918,8.850000381469727,10.042834281921387,,15.69717788696289,52.83000183105469,25.736665725708008,43.34000015258789,53.58000183105469,7.427999973297119,75.95999908447266,42.459999084472656,60.5,111.0999984741211,34.939998626708984,51.25,71.63068389892578,,129.39999389648438
2012-04-05,,59.40999984741211,86.68000030517578,63.47999954223633,51.172943115234375,66.77999877929688,70.87000274658203,42.85499954223633,50.22999954223633,29.930227279663086,,14.154999732971191,8.800999641418457,10.020112037658691,,15.633736610412598,52.70000076293945,25.440000534057617,43.5,53.66999816894531,7.461999893188477,75.95999908447266,41.70000076293945,60.900001525878906,111.5,34.79999923706055,50.779998779296875,71.5919189453125,,128.9499969482422
