Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
1990-01-02,0.3325890004634857,1.0729169845581055,8.979757308959961,20.5,7.359375,,,17.28125,9.495062828063965,,,1.8641979694366455,8.43136215209961,23.422561645507812,1.125,7.484375,10.0,4.875,8.71875,20.125,12.503975868225098,0.6163190007209778,0.8789060115814209,8.8125,15.0,0.3828130066394806,,25.630699157714844,2.992187976837158,5.890625
1990-01-03,0.3348209857940674,1.0989580154418945,9.076313972473145,21.0,7.4375,,,17.0,9.515615463256836,,,1.8703700304031372,8.46115493774414,23.63169288635254,1.09375,7.515625,10.333333015441895,4.804687976837158,8.625,20.34375,12.702767372131348,0.6197919845581055,0.859375,8.796875,15.09375,0.375,,25.574491500854492,2.953125,5.890625
1990-01-04,0.3359380066394806,1.1197919845581055,8.979757308959961,20.916667938232422,7.46875,,,16.78125,9.505338668823242,,,1.8827159404754639,8.729290008544922,23.90057373046875,1.1171879768371582,7.53125,10.375,4.78125,8.46875,20.5,12.503975868225098,0.6380209922790527,0.8417969942092896,8.625,15.375,0.3710939884185791,,24.590856552124023,2.851562976837158,5.859375
1990-01-05,0.3370540142059326,1.1354169845581055,8.883200645446777,20.625,7.421875,,,16.53125,9.53616714477539,,,1.8580249547958374,8.848461151123047,23.840822219848633,1.109375,7.453125,10.416666984558105,4.742187976837158,8.3125,20.15625,12.2455472946167,0.6223959922790527,0.8671879768371582,8.46875,15.3125,0.3554689884185791,,24.028779983520508,2.78125,5.796875
1990-01-08,0.3392859995365143,1.1328129768371582,8.818829536437988,20.875,7.375,,,16.6875,9.608098983764648,,,1.8395060300827026,8.848461151123047,23.990201950073242,1.125,7.578125,10.416666984558105,4.84375,8.46875,20.6875,12.404580116271973,0.6319440007209778,0.8632810115814209,8.625,15.375,0.3476560115814209,,24.225507736206055,2.835937976837158,5.875
1990-01-09,0.3359380066394806,1.109375,8.625717163085938,20.625,7.328125,,,16.5625,9.597823143005371,,,1.7901229858398438,8.66970443725586,23.751195907592773,1.15625,7.34375,10.083333015441895,4.804687976837158,8.40625,20.6875,12.305184364318848,0.6302080154418945,0.8476560115814209,8.625,15.4375,0.3398439884185791,,23.551015853881836,2.820312976837158,5.71875
1990-01-10,0.3214290142059326,1.1145830154418945,8.561346054077148,20.708332061767578,7.34375,,,16.5625,9.289542198181152,,,1.80246901512146,8.580326080322266,23.66156768798828,1.125,7.234375,10.041666984558105,4.773437976837158,8.25,20.5625,12.146150588989258,0.6128469705581665,0.84375,8.671875,15.375,0.34375,,22.932729721069336,2.796875,5.71875
1990-01-11,0.3080359995365143,1.0911459922790527,8.690088272094727,20.416667938232422,7.34375,,,16.59375,9.289542198181152,,,1.8148150444030762,8.520739555358887,23.870698928833008,1.125,7.328125,9.916666984558105,4.773437976837158,8.1875,20.75,12.2455472946167,0.6006940007209778,0.8398439884185791,8.796875,15.21875,0.3359380066394806,,23.01704216003418,2.835937976837158,5.78125
1990-01-12,0.3080359995365143,1.0729169845581055,8.49697494506836,20.0,7.21875,,,16.0625,9.022364616394043,,,1.746914029121399,8.37177562713623,23.39268684387207,1.1015629768371582,7.109375,9.833333015441895,4.601562976837158,8.03125,20.0625,11.947360038757324,0.5980899930000305,0.8359379768371582,8.46875,14.875,0.3242189884185791,,22.03340721130371,2.75,5.5625
1990-01-15,0.3058040142059326,1.078125,8.464789390563965,19.791667938232422,7.1875,,,16.15625,9.032641410827637,,,1.7283949851989746,8.3419828414917,23.452438354492188,1.109375,7.078125,9.833333015441895,4.523437976837158,7.9375,20.0,11.64917278289795,0.5980899930000305,0.84375,8.5,14.75,0.3320310115814209,,22.117719650268555,2.695312976837158,5.484375
1990-01-16,0.311383992433548,1.109375,8.336047172546387,19.958332061767578,7.125,,,16.46875,9.197056770324707,,,1.753085970878601,8.520739555358887,23.930448532104492,1.171875,7.078125,9.791666984558105,4.5625,8.03125,20.25,11.629294395446777,0.6163190007209778,0.8554689884185791,8.609375,14.8125,0.3359380066394806,,22.34255027770996,2.695312976837158,5.578125
1990-01-17,0.296875,1.1067709922790527,8.17512035369873,20.083332061767578,6.859375,,,16.375,9.053193092346191,,,1.80246901512146,8.3419828414917,23.63169288635254,1.175781011581421,7.015625,9.75,4.53125,8.03125,20.28125,11.450382232666016,0.6076390147209167,0.84375,8.5625,14.5625,0.3359380066394806,,22.03340721130371,2.632812976837158,5.515625
1990-01-18,0.2890630066394806,1.0885419845581055,8.17512035369873,20.0,6.921875,,,16.5,9.022364616394043,,,1.8641979694366455,8.490946769714355,23.781070709228516,1.1640629768371582,7.078125,9.666666984558105,4.507812976837158,8.0625,20.21875,11.609415054321289,0.6597219705581665,0.859375,8.6875,14.5625,0.328125,,21.97719955444336,2.640625,5.421875
1990-01-19,0.3058040142059326,1.0989580154418945,8.14293384552002,20.291667938232422,6.890625,,,16.75,9.001812934875488,,,1.89506196975708,8.43136215209961,23.571941375732422,1.183593988418579,7.171875,9.625,4.539062976837158,7.96875,20.21875,11.688931465148926,0.6536459922790527,0.875,8.625,14.4375,0.328125,,22.202030181884766,2.6875,5.4375
1990-01-22,0.296875,1.0677080154418945,7.853264808654785,19.75,6.8125,,,16.09375,8.714082717895508,,,1.8518520593643188,8.252605438232422,23.093929290771484,1.1484379768371582,6.921875,9.333333015441895,4.40625,7.75,19.53125,11.271469116210938,0.6302080154418945,0.8710939884185791,8.421875,14.0,0.3125,,21.190292358398438,2.640625,5.296875
1990-01-23,0.3013390004634857,1.078125,7.9498209953308105,19.666667938232422,6.90625,,,16.375,8.621599197387695,,,1.8827159404754639,8.282398223876953,23.123804092407227,1.1484379768371582,6.90625,9.083333015441895,4.4375,7.875,19.4375,11.430502891540527,0.6232640147209167,0.8710939884185791,8.265625,13.875,0.296875,,21.527538299560547,2.617187976837158,5.296875
1990-01-24,0.3035709857940674,1.0807290077209473,7.8854498863220215,19.875,6.96875,,,16.34375,8.672979354858398,,,1.8827159404754639,8.10364055633545,23.303058624267578,1.1875,6.78125,9.125,4.414062976837158,7.75,19.5,11.549777030944824,0.6302080154418945,0.8398439884185791,8.28125,13.8125,0.3046880066394806,,21.358915328979492,2.601562976837158,5.328125
1990-01-25,0.3046880066394806,1.09375,7.6923370361328125,19.333332061767578,6.890625,,,16.15625,8.590770721435547,,,1.8271600008010864,7.805713176727295,22.914674758911133,1.1953129768371582,6.625,9.041666984558105,4.296875,7.71875,19.03125,11.331107139587402,0.6302080154418945,0.828125,7.84375,13.90625,0.3085939884185791,,21.27460479736328,2.578125,5.234375
1990-01-26,0.2924109995365143,1.078125,7.6923370361328125,19.291667938232422,6.859375,,,16.09375,8.570219039916992,,,1.808642029762268,8.10364055633545,23.1536808013916,1.2109379768371582,6.609375,8.833333015441895,4.21875,7.8125,19.0,11.450382232666016,0.6302080154418945,0.8359379768371582,7.890625,13.875,0.2890630066394806,,21.330812454223633,2.5625,5.265625
1990-01-29,0.296875,1.078125,7.724523067474365,19.125,6.828125,,,16.09375,8.70380687713623,,,1.7777780294418335,8.222811698913574,23.24330711364746,1.1953129768371582,6.609375,8.625,4.265625,7.8125,19.0625,11.470260620117188,0.6354169845581055,0.8125,7.828125,13.8125,0.2695310115814209,,21.38701820373535,2.578125,5.296875
1990-01-30,0.3035709857940674,0.984375,7.627965927124023,19.416667938232422,6.8125,,,16.28125,8.631875038146973,,,1.7283949851989746,8.222811698913574,23.24330711364746,1.1796879768371582,6.5,8.416666984558105,4.140625,7.8125,19.15625,11.39074420928955,0.6336809992790222,0.7851560115814209,7.84375,13.5,0.2539060115814209,,21.30270767211914,2.523437976837158,5.25
1990-01-31,0.3035709857940674,0.9739580154418945,7.66015100479126,19.75,6.921875,,,16.71875,8.559943199157715,,,1.7345679998397827,8.10364055633545,23.571941375732422,1.234375,6.546875,8.583333015441895,4.304687976837158,8.15625,19.53125,11.490139961242676,0.6423609852790833,0.7890629768371582,8.0,13.4375,0.2890630066394806,,21.97719955444336,2.585937976837158,5.328125
1990-02-01,0.3002229928970337,0.9322919845581055,7.724523067474365,20.416667938232422,6.9375,,,16.65625,8.36469841003418,,,1.7407410144805908,8.133434295654297,23.362810134887695,1.21875,6.671875,8.666666984558105,4.296875,8.28125,19.46875,11.450382232666016,0.6510419845581055,0.7578129768371582,8.078125,14.125,0.28125,,22.06151008605957,2.59375,5.265625
1990-02-02,0.3058040142059326,1.0104169845581055,7.756708145141602,20.75,6.953125,,,16.78125,8.611323356628418,,,1.7962960004806519,8.073847770690918,23.512189865112305,1.234375,6.828125,8.708333015441895,4.335937976837158,8.3125,19.53125,11.529897689819336,0.6510419845581055,0.7890629768371582,8.140625,14.3125,0.2890630066394806,,22.00530433654785,2.65625,5.25
1990-02-05,0.3125,1.0364580154418945,7.756708145141602,21.041667938232422,6.90625,,,16.875,8.868224143981934,,,1.8209880590438843,8.133434295654297,23.810945510864258,1.25,6.78125,8.666666984558105,4.320312976837158,8.375,19.9375,11.450382232666016,0.6545140147209167,0.8203129768371582,8.203125,14.5625,0.3046880066394806,,21.63995361328125,2.640625,5.21875
1990-02-06,0.31026801466941833,1.0104169845581055,7.531408786773682,21.166667938232422,6.875,,,16.78125,8.847672462463379,,,1.8271600008010864,8.222811698913574,24.13957977294922,1.25,6.75,8.625,4.296875,8.28125,19.8125,11.231711387634277,0.6527780294418335,0.8164060115814209,8.140625,14.8125,0.3125,,21.021669387817383,2.632812976837158,5.203125
1990-02-07,0.296875,1.0677080154418945,7.724523067474365,21.166667938232422,6.90625,,,16.96875,8.960707664489746,,,1.8765430450439453,8.401569366455078,24.6474666595459,1.2578129768371582,6.84375,8.666666984558105,4.34375,8.46875,20.21875,11.569656372070312,0.6475690007209778,0.8125,8.234375,14.84375,0.3085939884185791,,20.853046417236328,2.671875,5.34375
1990-02-08,0.29464301466941833,1.1067709922790527,7.595779895782471,20.833332061767578,7.015625,,,17.5625,8.960707664489746,,,1.8333330154418945,8.401569366455078,24.557838439941406,1.265625,6.96875,8.666666984558105,4.335937976837158,8.28125,20.40625,11.569656372070312,0.6545140147209167,0.8203129768371582,8.1875,14.84375,0.3007810115814209,,20.628215789794922,2.609375,5.3125
1990-02-09,0.3058040142059326,1.0885419845581055,7.531408786773682,20.791667938232422,6.96875,,,17.28125,8.919604301452637,,,1.8580249547958374,8.46115493774414,24.498088836669922,1.2578129768371582,7.015625,8.625,4.3125,8.25,20.28125,11.5895357131958,0.65625,0.828125,8.28125,14.78125,0.3085939884185791,,20.82494354248047,2.664062976837158,5.453125
